raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Host,427,64,601,80.98904219,3.620462163
Prof. August,417,63,576,83.25911271,3.290709147
Database,417,77,525,94.82739045,1.37819303
Kurt Hardwick,411,60,535,89.75816241,2.441597324
Young Burns,411,61,512,94.60644849,1.737461609
HURLBUT,405,61,547,85.83384335,2.936628213
Guard,403,76,518,92.71138974,1.645271973
Wally,403,55,514,91.49608121,2.317760433
James Woods,400,68,506,93.84541176,1.631117647
Birch Barlow,395,46,531,84.39113786,3.621697854
Waiter,393,81,546,84.37449251,2.696115352
Jacqueline Bouvier,393,69,508,91.69818785,1.884230556
Gloria,389,60,504,90.64413389,2.226931877
SHARY,389,37,479,91.990519,3.040347391
Track Announcer,388,50,534,82.52457938,3.676606186
Sara Sloane,388,58,474,96.69345361,1.434429435
Cooder,387,70,466,99.35373256,0.774928387
Sgt. Skinner,386,45,495,89.63891825,2.887457686
Father,386,60,477,95.76060708,1.500865285
Disco Stu,383,65,489,92.84020848,1.773796345
Karl,382,71,510,88.42637011,2.262236561
Llewellyn Sinclair,378,67,501,88.98001066,2.249981047
Dr. Foster,373,58,505,85.76862601,2.893974762
KRABAPPEL,372,73,494,89.31750994,2.067289733
Becky,367,61,458,95.15124894,1.482279001
L.T. Smash,366,75,462,95.09163607,1.208281967
Captain,365,50,480,88.17070548,2.774808219
Ben,364,64,468,92.29075893,1.799553571
THE REAL BOB,362,47,444,95.25380451,1.886757964
Sherri Mackleberry,359,70,465,92.05011281,1.69426542
V.O.,356,10,482,56.15830337,14.27040449
RUTH,352,52,425,97.81934441,1.297159091
Glen,350,53,460,88.94359838,2.494043127
Coach Krupt,347,73,457,90.59183017,1.804469622
Gulliver Dark,347,25,441,85.22922075,4.819741787
ARTIE,345,62,433,95.00788569,1.390016363
Eliza,345,59,454,89.57113486,2.218624417
Devil,343,61,467,85.94344836,2.668840033
PROFESSOR FARNSWORTH,342,47,478,81.20715006,3.740270001
Rev. Hooper,342,41,442,89.03157253,2.913463129
